name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
MongoDB,,https://www.mongodb.com/,logos/6ce9eae7c50656ec903d564e1ab1a93f7427133e0a955ddc1e03369c3d2c7b78.svg,,,,,,,Other,,"MongoDB is a NoSQL database known for its flexibility, scalability, and ease of use, enabling developers to store and manage large volumes of unstructured data.",,,,,,,,,,,,Databases and Data Stores,NoSQL Databases,true,https://github.com/mongodb/mongo,25708,The MongoDB Database,2024-06-18,https://github.com/mongodb/mongo/commit/f26b411c25491ac558e0f167e3f1bdf7515a4ee8,,,2007-10-19,https://github.com/mongodb/mongo/commit/e73188b5512c82290a4070af4afddac20d0b981e,1217,https://github.com/mongodb/mongo/graphs/contributors,,,,,,,,,,,,
MySQL,,https://www.mysql.com/,logos/87429860942f5076322659e1b610bee6634f23879c90b8998196e40e6ed0e975.svg,,,,,,,Other,,"MySQL is an open-source relational database management system known for its speed, reliability, and ease of use in web applications and data-driven environments.",,,,,,,,,,,,Databases and Data Stores,Relational Database Management Systems (RDBMS),true,https://github.com/mysql/mysql-server,10426,"MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database.",2023-11-20,https://github.com/mysql/mysql-server/commit/824e2b4064053f7daf17d7f3f84b7a3ed92e5fb4,,,2000-07-31,https://github.com/mysql/mysql-server/commit/7eec25e393727b16bb916b50d82b0aa3084e065c,647,https://github.com/mysql/mysql-server/graphs/contributors,,,,,,,,,,,,
Octopus Deploy,,https://octopus.com,logos/b0a747444a77d411ef3d9c3543063d9e488cb8d1e478fc6ea5ad7be4ba6b50ff.svg,,,,,,,,,"Octopus Deploy is an automated deployment and release management tool designed to simplify and streamline the deployment of applications across various environments.  It integrates with CI servers like Jenkins, TeamCity, and Azure DevOps, facilitating end-to-end automation from build to production.",,,,,,,,,,,,Software Development,Continuous Integration and Continuous Deployment (CI/CD),,,,,,,,,,,,,,,,,,,,,,,,
OpenLDAP,,https://openldap.org,logos/52cdc000893104046df6727b46f61dfce5ae03c02e4280c1a1888ac4b8f9d0e4.svg,,,,,,,Other,,"OpenLDAP is an open-source implementation of the Lightweight Directory Access Protocol (LDAP), which is a protocol for accessing and maintaining distributed directory information services over an IP network.",,,,,,,,,,,,Security,Identity and Access Management (IAM),true,https://github.com/openldap/openldap,438,Mirror of OpenLDAP repository,2024-06-18,https://github.com/openldap/openldap/commit/aa31963e44e8e89bf7752a39d19c78b22c3711e8,,,1998-08-09,https://github.com/openldap/openldap/commit/42e0d83cb3a1a1c5b25183f1ab74ce7edbe25de7,181,https://github.com/openldap/openldap/graphs/contributors,,,,,,,,,,,,
Oracle Database,,https://www.oracle.com/uk/database/,logos/305d310fda8165fb38e24273c643f2c61107e2440e12abc3c209bd49c2deff15.svg,,,,,,,,,"Oracle is a comprehensive and robust relational database management system renowned for its advanced features, scalability, and security, suitable for enterprise-level applications.",,,,,,,,,,,,Databases and Data Stores,Relational Database Management Systems (RDBMS),,,,,,,,,,,,,,,,,,,,,,,,
Podman,,https://podman.io/,logos/88ebb2077819b6779ed4ef164a09694f8688785964c5f85a1515e247f18256fe.svg,,,,,,,Apache License 2.0,,"Podman is an open-source tool for working with containers on Linux. It lets you find, run, build, and manage container images and applications.  Similar to Docker, it uses a command-line interface (CLI) and is familiar to Docker users.  However, Podman is daemonless, making it more secure for some use cases.",,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/containers/podman,22237,Podman: A tool for managing OCI containers and pods.,2024-06-18,https://github.com/containers/podman/commit/b8d95a5893572b37c8257407e964ad06ba87ade6,2024-06-04,https://github.com/containers/podman/releases/tag/v5.1.1,2017-11-01,https://github.com/containers/podman/commit/2b74391cd5281f6fdf391ff8ad50fd1490f6bf89,708,https://github.com/containers/podman/graphs/contributors,,,,,,,,,,,,
Poetry,,https://python-poetry.org,logos/31bd899082443080b8fcd212b18d055b33e1d9a11252a1fd44a048f4c25e47c2.svg,,,,,,,MIT License,,"Poetry is a tool for dependency management and packaging in Python. It allows you to declare the libraries your project depends on and it will manage (install/update) them for you.  Poetry offers a lockfile to ensure repeatable installs, and can build your project for distribution.",,,,,,,,,,,,Software Development,Build Tools,true,https://github.com/python-poetry/poetry,30159,Python packaging and dependency management made easy,2024-06-17,https://github.com/python-poetry/poetry/commit/d707e4d2477a90026173e061b573aed1533c67fd,2024-05-08,https://github.com/python-poetry/poetry/releases/tag/1.8.3,2018-02-20,https://github.com/python-poetry/poetry/commit/c5c7624ef64f34d9f50c3b7e8118f7f652fddbbd,559,https://github.com/python-poetry/poetry/graphs/contributors,,,,,,,,,,,,
PostgreSQL,,https://www.postgresql.org/,logos/7bb3ea258820bcd217404f838a64501332e8a0cad749a02666e14c9587676ba0.svg,,,,,,,Other,,"PostgreSQL is an advanced open-source relational database management system known for its extensibility, standards compliance, and powerful features for complex queries and data integrity.",,,,,,,,,,,,Databases and Data Stores,Relational Database Management Systems (RDBMS),true,https://github.com/postgres/postgres,15084,"Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see https://wiki.postgresql.org/wiki/Submitting_a_Patch",2024-06-18,https://github.com/postgres/postgres/commit/5603e119f4bd4818f8fa432ffc177c3caf9efeb6,,,1996-07-09,https://github.com/postgres/postgres/commit/d31084e9d1118b25fd16580d9d8c2924b5740dff,57,https://github.com/postgres/postgres/graphs/contributors,,,,,,,,,,,,
Prometheus,,https://prometheus.io/,logos/4d6a2b87a6c9a01ed1b82cef5db978e273adb99fda44d47e5dae48f75207147c.svg,,,,,,,Apache License 2.0,,"Prometheus is an open-source toolkit for monitoring systems and setting alerts.   It collects data points (metrics) over time, allowing you to track application and infrastructure health. ",,,,,,,,,,,,Databases and Data Stores,Monitoring and Logging,true,https://github.com/prometheus/prometheus,53491,The Prometheus monitoring system and time series database.,2024-06-18,https://github.com/prometheus/prometheus/commit/b6ef745016fa9472fdd0ae20f75a9682e01d1e5c,2024-05-08,https://github.com/prometheus/prometheus/releases/tag/v2.52.0,2012-11-24,https://github.com/prometheus/prometheus/commit/734d28b515026ca9f429eba0a7d09954bceb6387,1066,https://github.com/prometheus/prometheus/graphs/contributors,,,,,,,,,,,,
Sonatype Nexus Repository,,https://www.sonatype.com,logos/8da922d6caf8256d7e1313a94ee6c0bc83a64021e61ff775eeb84b9ecbd5c588.svg,,,,,,,,,"Sonatype Nexus Repository is a repository manager designed to store, manage, and distribute binary artifacts and dependencies used in software development.  It supports various formats such as Maven, npm, NuGet, Docker, and more, making it versatile for different development ecosystems.",,,,,,,,,,,,Software Development,Artifact Repositories,,,,,,,,,,,,,,,,,,,,,,,,
TeamCity,,https://www.jetbrains.com/teamcity/,logos/27895e3db8bf63fcc09501ea6f0a76b8420cbbbea111aecf74cd3242dd91b6b0.svg,,,,,,,,,"TeamCity is a continuous integration and continuous deployment (CI/CD) server developed by JetBrains. It automates the build, test, and release processes, providing a robust platform for software development teams to ensure code quality and streamline their workflows. ",,,,,,,,,,,,Software Development,Continuous Integration and Continuous Deployment (CI/CD),,,,,,,,,,,,,,,,,,,,,,,,
Terraform,,https://www.terraform.io/,logos/7d2c2d1d15a965cb200048d77e251a234201b6160d7eae43d9fbc997b93a2497.svg,,,,,,,Other,,"Terraform lets you describe your desired infrastructure state in configuration files, then creates or modifies resources to match that state.   It automates infrastructure provisioning and makes it repeatable and manageable.",,,,,,,,,,,,Software Development,Infrastructure as Code (IaC),true,https://github.com/hashicorp/terraform,41514,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",2024-06-18,https://github.com/hashicorp/terraform/commit/3ddd97fc3f47488dca20bed4a3a00610af33ea5a,2024-06-05,https://github.com/hashicorp/terraform/releases/tag/v1.8.5,2014-05-21,https://github.com/hashicorp/terraform/commit/649cf336e86da10910f6e50ea3cfaad507a2e336,2202,https://github.com/hashicorp/terraform/graphs/contributors,,,,,,,,,,,,
Vault,,https://www.vaultproject.io/,logos/7e8ff5c02e2ae7496c8fafdcb80bbdc57fd4b448535b79bb947272620dd47501.svg,,,,,,,Other,,"HashiCorp Vault is a software tool specifically designed to securely store and manage secrets and encryption keys. Think of it as a digital vault for sensitive information like passwords, API keys, certificates, and more. ",,,,,,,,,,,,Security,Secrets Management,true,https://github.com/hashicorp/vault,29942,"A tool for secrets management, encryption as a service, and privileged access management",2024-06-18,https://github.com/hashicorp/vault/commit/28c2e9438265adf19d94c1a2f9b33e41ff8649eb,2024-06-12,https://github.com/hashicorp/vault/releases/tag/v1.17.0,2015-02-25,https://github.com/hashicorp/vault/commit/ed3069f01d4ee023d296212a3521d3354f109194,1500,https://github.com/hashicorp/vault/graphs/contributors,,,,,,,,,,,,
